,entities,frequency
0,http,46995
1,cll,28689
2,leukemia,19786
3,lymphocytic,17378
4,chronic,17101
5,patient,9741
6,treatment,5953
7,new,5595
8,cancer,4487
9,lymphoma,4315
10,leusm,4209
11,amp,3850
12,ibrutinib,3826
13,acalabrutinib,3666
14,cell,3095
15,dr,2789
16,therapy,2788
17,trial,2739
18,calquence,2590
19,venetoclax,2486
20,study,2470
21,s,2276
22,drug,2257
23,hematology,2200
24,’,2053
25,fda,1781
26,clinical,1754
27,relapsed,1659
28,article,1654
29,phase,1623
30,via,1607
31,data,1553
32,lymsm,1454
33,astrazeneca,1416
34,w,1388
35,expert,1315
36,research,1299
37,inhibitor,1272
38,covid19,1246
39,learn,1220
40,video,1212
41,combination,1210
42,leukaemia,1205
43,adult,1150
44,cllsm,1136
45,result,1121
46,blood,1105
47,rituximab,1040
48,discus,1024
49,disease,1019
50,oncology,1019
51,u,1018
52,btk,1003
53,today,984
54,option,973
55,de,967
56,response,904
57,show,868
58,review,831
59,mantle,830
60,news,829
61,md,826
62,bcell,823
63,obinutuzumab,819
64,get,812
65,plus,795
66,may,794
67,3,788
68,refractory,780
69,relapsedrefractory,776
70,survival,776
71,watch,771
72,approves,745
73,risk,745
74,year,743
75,targeted,742
76,pt,731
77,approved,729
78,mutation,726
79,see,714
80,medivizor,710
81,novel,707
82,outcome,707
83,bloodcancer,703
84,help,701
85,2,686
86,treated,685
87,read,670
88,great,667
89,approval,661
90,live,647
91,update,647
92,report,645
93,gt,635
94,mdandersonnews,630
95,latest,616
96,small,616
97,share,615
98,one,612
99,la,611
100,available,607
101,care,605
102,efficacy,604
103,previously,591
104,untreated,589
105,health,586
106,case,580
107,clinicaltrial,579
108,join,579
109,day,576
110,time,575
111,need,570
112,abbvie,564
113,analysis,563
114,effective,560
115,en,559
116,lymphocyte,552
117,diagnosed,550
118,treat,548
119,imbruvica,548
120,patientpower,543
121,placebo,535
122,people,531
123,check,529
124,акалабрутиниб,528
125,highrisk,525
126,early,523
127,ash18,523
128,аналог,523
129,описание,523
130,first,523
131,показа,523
132,luciacalabru,523
133,калквенс,523
134,therapeutic,514
135,“,512
136,potential,509
137,vs,509
138,frontline,508
139,market,504
140,v,502
141,leukemiamda,500
142,use,500
143,cllpy,498
144,diagnosis,498
145,unidasporelobjetivo,497
146,sll,485
147,meeting,476
148,”,475
149,mcl,474
150,work,471
151,mrd,471
152,role,465
153,group,461
154,⏱️,461
155,agent,459
156,high,459
157,rate,455
158,benefit,455
159,looking,451
160,safety,448
161,🔴⚪⚫,448
162,know,448
163,prognostic,442
164,type,436
165,impact,436
166,treating,429
167,1,428
168,enrolling,428
169,rr,427
170,important,425
171,us,423
172,find,423
173,et,418
174,⁦,418
175,chroniclymphocyticleukemia,418
176,register,418
177,idelalisib,415
178,longterm,413
179,car,409
180,pfs,408
181,iii,408
182,announces,407
183,growing,407
184,nonhodgkin,402
185,medicine,396
186,advance,396
187,effect,395
188,b,393
189,involving,392
190,ash19,392
191,support,391
192,common,390
193,slow,390
194,progression,388
195,activity,388
196,combo,383
197,ash20,382
198,primarily,381
199,please,380
200,firstline,379
201,presented,376
202,ashhematology,375
203,good,374
204,malignancy,371
205,global,369
206,free,369
207,⚽,366
208,question,364
209,resistance,364
210,rt,363
211,tcell,361
212,current,361
213,gene,361
214,tcoa7uh6eqlyn,360
215,next,360
216,life,358
217,john,357
218,session,356
219,–,356
220,pharma,356
221,nt,353
222,talk,352
223,anthonymatomd,350
224,chemoimmunotherapy,350
225,roche,343
226,venclexta,342
227,breakthrough,341
228,story,341
229,best,340
230,cart,337
231,al,336
232,aml,336
233,event,335
234,azn,334
235,designation,333
236,el,333
237,management,332
238,oral,332
239,hemonc,329
240,associated,328
241,living,324
242,like,323
243,hear,321
244,experience,321
245,bcl2,321
246,test,321
247,immunotherapy,320
248,expression,320
249,interview,316
250,light,316
251,danafarber,315
252,many,314
253,week,312
254,ash,312
255,kinase,311
256,immune,310
257,society,308
258,landscape,308
259,could,307
260,le,305
261,come,304
262,remission,301
263,forward,298
264,webinar,297
265,acute,296
266,strategy,296
267,myeloma,296
268,2020,295
269,positive,294
270,vjhemonc,294
271,regimen,293
272,receptor,293
273,genetic,292
274,chemotherapy,292
275,well,291
276,present,290
277,ash17,290
278,approach,290
279,infection,288
280,status,288
281,area,286
282,development,285
283,oncoalert,283
284,take,283
285,green,283
286,insight,282
287,factor,281
288,testing,281
289,line,281
290,future,280
291,thanks,279
292,month,277
293,team,275
294,older,275
295,coronavirus,274
296,used,273
297,nhl,273
298,leukemiasmall,270
299,say,270
300,international,269
301,richter,269
302,4,269
303,17p,269
304,sequencing,267
305,iwcll,266
306,part,264
307,community,264
308,ofatumumab,262
309,primary,262
310,key,261
311,cello,261
312,better,261
313,rx,260
314,researcher,259
315,presentation,259
